asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd
TRX,2025-10-04 16:00:00+00:00,0.3399,-1.0,0.3356142857142857,0.34195714285714285,1250.0,1.0,0.85,2.08,2025-10-09 16:00:00+00:00,2025-10-05 04:00:00+00:00,0.34195714285714285,sl,-9.190250283696928
ADA,2025-10-04 16:00:00+00:00,0.838,1.0,0.8788928571428571,0.8183714285714285,1250.0,1.0,0.85,2.08,2025-10-09 16:00:00+00:00,2025-10-05 08:00:00+00:00,0.8788928571428571,tp,59.74769860211393
TRX,2025-10-05 04:00:00+00:00,0.3432,1.0,0.34777142857142856,0.3410057142857143,1247.7024374290759,1.0,0.85,2.08,2025-10-10 04:00:00+00:00,2025-10-05 16:00:00+00:00,0.3410057142857143,sl,-9.599331449922584
ADA,2025-10-08 04:00:00+00:00,0.8174,1.0,0.8620964285714287,0.7959457142857143,1260.2395292171236,1.0,0.85,2.08,2025-10-13 04:00:00+00:00,2025-10-10 12:00:00+00:00,0.7959457142857143,sl,-34.715799678000785
TRX,2025-10-08 04:00:00+00:00,0.3373,1.0,0.3429964285714286,0.33456571428571424,1260.2395292171236,1.0,0.85,2.08,2025-10-13 04:00:00+00:00,2025-10-10 12:00:00+00:00,0.33456571428571424,sl,-11.854305877506642
ADA,2025-10-15 04:00:00+00:00,0.7024,1.0,0.7641857142857144,0.6727428571428572,1248.5970028282468,1.0,0.85,2.08,2025-10-20 04:00:00+00:00,2025-10-15 12:00:00+00:00,0.6727428571428572,sl,-54.34216768095133
TRX,2025-10-15 04:00:00+00:00,0.3182,1.0,0.32698571428571427,0.3139828571428571,1248.5970028282468,1.0,0.85,2.08,2025-10-20 04:00:00+00:00,2025-10-15 12:00:00+00:00,0.3139828571428571,sl,-18.170982300807864
ADA,2025-10-20 04:00:00+00:00,0.6699,1.0,0.7057928571428572,0.6526714285714286,1230.468715332807,1.0,0.85,2.08,2025-10-25 04:00:00+00:00,2025-10-21 00:00:00+00:00,0.6526714285714286,sl,-33.24495662465403
TRX,2025-10-20 04:00:00+00:00,0.3231,1.0,0.32942142857142853,0.3200657142857143,1230.468715332807,1.0,0.85,2.08,2025-10-25 04:00:00+00:00,2025-10-23 12:00:00+00:00,0.3200657142857143,sl,-13.155145216066442
TRX,2025-10-24 04:00:00+00:00,0.3132,1.0,0.3217357142857143,0.3091028571428571,1218.8686898726269,1.0,0.85,2.08,2025-10-29 04:00:00+00:00,2025-10-24 12:00:00+00:00,0.3091028571428571,sl,-17.52922644404611
TRX,2025-10-24 16:00:00+00:00,0.3047,-1.0,0.29571785714285714,0.3090114285714286,1214.4863832616154,1.0,0.85,2.08,2025-10-29 16:00:00+00:00,2025-10-25 04:00:00+00:00,0.29571785714285714,tp,34.586925472697075
ADA,2025-10-24 04:00:00+00:00,0.6495,1.0,0.6825714285714286,0.6336257142857142,1218.8686898726269,1.0,0.85,2.08,2025-10-29 04:00:00+00:00,2025-10-26 20:00:00+00:00,0.6825714285714286,tp,60.84383926251134
