asset,entry_ts,entry_price,direction,take_profit,stop_loss,position_usd,leverage,confidence,rr_ratio,max_hold_bar,exit_ts,exit_price,outcome,pnl_usd,fold
ATOM,2025-11-16 16:00:00+00:00,2.735,-1.0,2.6525000000000003,2.7745999999999995,1250.0,1.0,0.8143050074577332,2.08,2025-11-21 16:00:00+00:00,2025-11-17 00:00:00+00:00,2.7745999999999995,sl,-19.723720292504407,1
FIL,2025-11-19 05:00:00+00:00,1.83,-1.0,1.6996428571428575,1.8925714285714286,1245.069069926874,1.0,0.8060268759727478,2.08,2025-11-24 05:00:00+00:00,2025-11-19 08:00:00+00:00,1.8925714285714286,sl,-44.19003808348652,1
ATOM,2025-11-20 09:00:00+00:00,3.11,1.0,3.249285714285714,3.043142857142857,1234.0215604060022,1.0,0.8444610238075256,2.08,2025-11-25 09:00:00+00:00,2025-11-20 11:00:00+00:00,3.043142857142857,sl,-28.132573929768405,1
APT,2025-11-20 04:00:00+00:00,2.999,-1.0,2.873285714285714,3.059342857142857,2468.0431208120044,2.0,0.8918465375900269,2.08,2025-11-25 04:00:00+00:00,2025-11-20 16:00:00+00:00,2.873285714285714,tp,100.98920197586627,1
APT,2025-11-21 04:00:00+00:00,2.699,-1.0,2.529,2.7805999999999997,1252.2357174175268,1.0,0.8024757504463196,2.08,2025-11-26 04:00:00+00:00,2025-11-21 07:00:00+00:00,2.529,tp,77.62144785463859,1
ATOM,2025-11-21 22:00:00+00:00,2.456,-1.0,2.296357142857143,2.5326285714285715,2543.282158762373,2.0,0.8719577789306641,2.08,2025-11-26 22:00:00+00:00,2025-11-23 01:00:00+00:00,2.5326285714285715,sl,-82.65809032664109,1
ICP,2025-11-25 17:00:00+00:00,4.414,-1.0,4.145714285714286,4.548142857142857,1876.4648351992892,2.0,0.8982857465744019,2.0,2025-11-30 17:00:00+00:00,2025-11-26 10:00:00+00:00,4.145714285714286,tp,112.17625574555865,1
ATOM,2025-11-26 18:00:00+00:00,2.559,-1.0,2.4870357142857147,2.5935428571428574,2558.0412414718317,2.0,0.8645572662353516,2.08,2025-12-01 18:00:00+00:00,2025-11-28 01:00:00+00:00,2.4870357142857147,tp,69.37928223262135,1
POL,2025-11-26 18:00:00+00:00,0.1386,-1.0,0.134725,0.14046,2558.0412414718317,2.0,0.8644495606422424,2.08,2025-12-01 18:00:00+00:00,2025-11-28 17:00:00+00:00,0.134725,tp,68.96006706086094,1
APT,2025-11-29 17:00:00+00:00,1.977,-1.0,1.9153928571428573,2.0065714285714287,2627.2109161185726,2.0,0.9099252223968506,2.08,2025-12-04 17:00:00+00:00,2025-11-29 18:00:00+00:00,2.0065714285714287,sl,-42.71248089205572,1
NEAR,2025-11-30 20:00:00+00:00,1.805,1.0,1.8973214285714284,1.7606857142857142,3908.7820135088177,3.0,0.938676655292511,2.08,2025-12-05 20:00:00+00:00,2025-12-01 00:00:00+00:00,1.7606857142857142,sl,-101.04534068486944,1
ATOM,2025-11-30 23:00:00+00:00,2.376,1.0,2.4217142857142857,2.3540571428571426,2605.854675672545,2.0,0.8948830962181091,2.08,2025-12-05 23:00:00+00:00,2025-12-01 00:00:00+00:00,2.3540571428571426,sl,-27.4532242447587,1
ATOM,2025-12-01 15:00:00+00:00,2.171,-1.0,2.098142857142857,2.2059714285714285,1270.8026966038656,1.0,0.8101202249526978,2.08,2025-12-06 15:00:00+00:00,2025-12-01 18:00:00+00:00,2.2059714285714285,sl,-22.122695616437632,1
DOT,2025-12-01 04:00:00+00:00,2.009,-1.0,1.9184642857142855,2.0524571428571425,2541.605393207731,2.0,0.919710099697113,2.08,2025-12-06 04:00:00+00:00,2025-12-02 03:00:00+00:00,2.0524571428571425,sl,-58.28214010181841,1
